junctions;crossroads;deadends
0.2332;0.0605;0.3544
0.2377;0.0622;0.3623
0.2335;0.0627;0.3591
0.2331;0.0633;0.3599
0.2332;0.0609;0.3552
0.2297;0.0639;0.3577
0.2381;0.0598;0.3579
0.2394;0.0604;0.3604
0.2361;0.0625;0.3613
0.2308;0.0619;0.3548
0.2394;0.0574;0.3544
0.2324;0.0622;0.357
0.2351;0.0611;0.3575
0.2298;0.0626;0.3552
0.2335;0.0631;0.3599
0.2323;0.0624;0.3573
0.2311;0.0617;0.3547
0.236;0.0577;0.3516
0.2369;0.0571;0.3513
0.2335;0.0623;0.3583
0.2338;0.0618;0.3576
0.2386;0.0583;0.3554
0.2382;0.0594;0.3572
0.2324;0.0611;0.3548
0.2325;0.0623;0.3573
0.2291;0.0619;0.3531
0.2352;0.0596;0.3546
0.2306;0.0591;0.349
0.2319;0.0619;0.3559
0.23;0.0599;0.35
0.2319;0.0638;0.3597
0.2339;0.0613;0.3567
0.2356;0.061;0.3578
0.231;0.0648;0.3608
0.2325;0.0612;0.3551
0.2321;0.063;0.3583
0.232;0.0599;0.352
0.2318;0.0634;0.3588
0.2293;0.0622;0.3539
0.2327;0.0621;0.3571
0.2294;0.0647;0.359
0.2368;0.0593;0.3556
0.2301;0.0608;0.3519
0.2342;0.0629;0.3602
0.2281;0.0636;0.3555
0.2365;0.0601;0.3569
0.2311;0.06;0.3513
0.2303;0.0634;0.3573
0.2301;0.0631;0.3565
0.2342;0.0585;0.3514
0.2353;0.0594;0.3543
0.2327;0.0613;0.3555
0.2339;0.0626;0.3593
0.2361;0.0588;0.3539
0.2331;0.0638;0.3609
0.2357;0.0616;0.3591
0.2354;0.0586;0.3528
0.2325;0.0619;0.3565
0.235;0.0625;0.3602
0.2343;0.0613;0.3571
0.2405;0.059;0.3587
0.2324;0.0602;0.353
0.2378;0.0575;0.353
0.233;0.0594;0.352
0.2341;0.0605;0.3553
0.2326;0.0604;0.3536
0.2285;0.0633;0.3553
0.2292;0.0621;0.3536
0.2348;0.0617;0.3584
0.2341;0.06;0.3543
0.2387;0.0566;0.3521
0.2346;0.0614;0.3576
0.2385;0.0604;0.3595
0.2312;0.0629;0.3572
0.2366;0.0596;0.356
0.2399;0.0594;0.3589
0.2362;0.0612;0.3588
0.233;0.0627;0.3586
0.2305;0.0652;0.3611
0.2278;0.0624;0.3528
0.233;0.0617;0.3566
0.2279;0.0635;0.3551
0.2325;0.0616;0.3559
0.2315;0.0617;0.3551
0.2361;0.0603;0.3569
0.2392;0.0579;0.3552
0.2334;0.0625;0.3586
0.2358;0.0599;0.3558
0.2378;0.0607;0.3594
0.2315;0.0612;0.3541
0.233;0.0628;0.3588
0.2291;0.0647;0.3587
0.2278;0.0661;0.3602
0.229;0.0617;0.3526
